PLAYER_NAME,AGAINT_OPP_MIN,AGAINT_OPP_FGM,AGAINT_OPP_FGA,AGAINT_OPP_FG3M,AGAINT_OPP_FG3A,AGAINT_OPP_FTM,AGAINT_OPP_FTA,AGAINT_OPP_OREB,AGAINT_OPP_DREB,AGAINT_OPP_REB,AGAINT_OPP_AST,AGAINT_OPP_STL,AGAINT_OPP_BLK,AGAINT_OPP_TOV,AGAINT_OPP_PF,AGAINT_OPP_PTS,AGAINT_OPP_PLUS_MINUS
Franz Wagner,35.0,11.0,15.0,2.0,3.0,6.0,9.0,1.0,6.0,7.0,2.0,2.0,0.0,3.0,3.0,30.0,10.0
Paolo Banchero,37.0,9.0,18.0,2.0,5.0,3.0,6.0,0.0,7.0,7.0,8.0,2.0,0.0,2.0,2.0,23.0,8.0
Gary Harris,24.0,2.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0,5.0,5.0
Jalen Suggs,32.0,5.0,9.0,2.0,5.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,2.0,1.0,2.0,12.0,6.0
Jaylen Brown,35.5,10.0,18.5,1.5,5.0,2.0,2.0,1.5,2.0,3.5,4.5,1.5,0.5,2.5,2.0,23.5,-1.0
Jayson Tatum,38.5,8.0,20.5,2.5,9.5,7.5,8.5,1.5,9.0,10.5,4.0,0.0,2.5,3.5,2.0,26.0,5.5
Kristaps Porziņģis,31.5,5.0,13.5,1.5,6.0,8.0,8.5,2.0,6.0,8.0,1.5,1.0,2.0,3.0,1.5,19.5,-2.0
Derrick White,36.0,5.0,9.5,3.5,6.0,2.0,2.0,1.0,3.5,4.5,3.5,2.0,1.0,2.0,1.5,15.5,1.5
Jrue Holiday,35.5,5.5,9.0,2.0,4.0,0.0,0.0,2.0,1.5,3.5,3.0,1.5,0.5,1.5,2.5,13.0,6.5
Tobias Harris,32.0,5.0,13.0,0.0,4.0,0.0,0.0,1.0,4.0,5.0,1.0,2.0,0.0,0.0,0.0,10.0,14.0
Mo Bamba,9.5,2.0,3.0,0.0,0.0,1.0,1.5,1.5,1.5,3.0,0.0,0.5,0.0,0.0,0.5,5.0,-1.5
Ausar Thompson,27.0,1.0,7.0,1.0,2.0,1.0,2.0,3.0,4.0,7.0,3.0,0.0,5.0,2.0,2.0,4.0,-14.0
Isaiah Stewart,35.0,6.0,11.0,2.0,3.0,0.0,0.0,6.0,8.0,14.0,2.0,0.0,0.0,1.0,3.0,14.0,7.0
Jalen Duren,32.0,8.0,11.0,0.0,0.0,1.0,3.0,6.0,8.0,14.0,4.0,0.0,4.0,4.0,4.0,17.0,-4.0
Jaden Ivey,17.0,1.0,7.0,0.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,0.0,0.0,3.0,3.0,4.0,-2.0
Cade Cunningham,36.0,13.0,27.0,4.0,9.0,0.0,0.0,0.0,3.0,3.0,9.0,1.0,1.0,3.0,5.0,30.0,-2.0
Saddiq Bey,27.0,4.5,7.0,1.5,3.5,0.0,0.0,0.5,1.0,1.5,1.5,1.0,0.5,1.5,2.5,10.5,7.0
Jalen Johnson,30.5,6.0,8.5,2.0,3.0,0.5,1.5,0.0,7.0,7.0,1.0,0.5,1.5,3.0,1.5,14.5,-7.0
Clint Capela,27.0,5.0,8.5,0.0,0.0,0.5,2.0,3.0,5.0,8.0,1.5,1.0,1.5,0.5,2.5,10.5,-15.0
Bogdan Bogdanović,27.5,7.0,13.0,4.0,10.0,4.0,4.0,0.5,1.5,2.0,3.0,1.5,0.5,1.5,3.5,22.0,5.5
Dejounte Murray,33.5,7.0,14.5,0.0,3.0,1.5,3.0,1.0,5.0,6.0,4.0,1.0,0.5,1.0,1.0,15.5,-11.0
Brandon Ingram,30.0,16.0,21.0,8.0,11.0,1.0,1.0,1.0,5.0,6.0,9.0,0.0,1.0,0.0,1.0,41.0,37.0
Zion Williamson,22.0,5.0,8.0,0.0,0.0,6.0,6.0,1.0,2.0,3.0,5.0,0.0,1.0,1.0,0.0,16.0,16.0
Jonas Valančiūnas,20.0,4.0,14.0,0.0,0.0,2.0,2.0,8.0,4.0,12.0,3.0,0.0,0.0,0.0,1.0,10.0,13.0
Herbert Jones,22.0,3.0,7.0,1.0,4.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,7.0,15.0
CJ McCollum,23.0,7.0,12.0,6.0,10.0,0.0,0.0,1.0,5.0,6.0,3.0,2.0,0.0,0.0,1.0,20.0,15.0
Julian Champagnie,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0
Jeremy Sochan,30.5,4.0,10.0,0.5,3.0,2.0,2.0,1.5,4.0,5.5,3.0,1.5,0.0,2.0,2.5,10.5,-8.0
Victor Wembanyama,32.0,7.0,17.0,0.5,6.0,3.5,4.5,3.5,11.5,15.0,2.0,1.5,4.0,4.5,2.5,18.0,-1.5
Devin Vassell,35.5,6.0,14.5,2.0,8.0,5.5,8.0,1.5,3.0,4.5,2.0,0.0,0.0,0.5,0.5,19.5,1.5
Tre Jones,24.5,1.5,4.5,0.0,2.0,1.5,2.5,1.5,1.5,3.0,5.0,2.0,0.0,0.0,0.5,4.5,5.0
Pascal Siakam,29.0,5.0,11.0,0.0,2.0,2.0,2.0,0.0,9.0,9.0,2.0,2.0,0.0,0.0,1.0,12.0,6.0
Myles Turner,30.0,10.0,15.0,2.0,7.0,11.0,12.0,2.0,6.0,8.0,1.0,0.0,0.0,4.0,2.0,33.0,7.0
Andrew Nembhard,33.0,7.0,8.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,15.0,8.0
Tyrese Haliburton,31.0,8.0,15.0,1.0,5.0,0.0,0.0,0.0,3.0,3.0,10.0,4.0,0.0,1.0,0.0,17.0,13.0
Kevin Durant,36.0,8.0,25.0,1.0,3.0,13.0,13.0,0.0,4.0,4.0,11.0,1.0,3.0,1.0,2.0,30.0,-6.0
Jusuf Nurkić,33.0,13.0,22.0,2.0,6.0,3.0,5.0,3.0,3.0,6.0,2.0,0.0,2.0,6.0,6.0,31.0,3.0
Grayson Allen,37.0,5.0,9.0,1.0,4.0,2.0,2.0,0.0,10.0,10.0,3.0,1.0,0.0,0.0,2.0,13.0,-4.0
